time_iso8601,stars_cumulative
2022-08-25 00:00:00+00:00,304
2022-08-28 00:00:00+00:00,305
2022-09-09 00:00:00+00:00,306
2022-09-12 00:00:00+00:00,308
2022-09-22 00:00:00+00:00,311
2022-09-23 00:00:00+00:00,312
2022-10-04 00:00:00+00:00,313
2022-10-05 00:00:00+00:00,314
2022-10-06 00:00:00+00:00,315
2022-10-18 00:00:00+00:00,317
2022-10-20 00:00:00+00:00,318
2022-10-22 00:00:00+00:00,319
2022-10-25 00:00:00+00:00,320
2022-10-30 00:00:00+00:00,321
2022-11-02 00:00:00+00:00,322
2022-11-03 00:00:00+00:00,323
2022-11-06 00:00:00+00:00,324
2022-11-07 00:00:00+00:00,325
2022-11-19 00:00:00+00:00,326
2022-11-20 00:00:00+00:00,327
2022-11-24 00:00:00+00:00,328
2022-11-25 00:00:00+00:00,329
2022-12-01 00:00:00+00:00,330
2022-12-04 00:00:00+00:00,331
2022-12-08 00:00:00+00:00,332
2022-12-10 00:00:00+00:00,333
2022-12-13 00:00:00+00:00,334
2022-12-18 00:00:00+00:00,335
2022-12-23 00:00:00+00:00,337
2022-12-29 00:00:00+00:00,338
2023-01-03 00:00:00+00:00,339
2023-01-06 00:00:00+00:00,342
2023-01-07 00:00:00+00:00,344
2023-01-08 00:00:00+00:00,345
2023-01-09 00:00:00+00:00,346
2023-01-15 00:00:00+00:00,347
2023-01-16 00:00:00+00:00,348
2023-01-18 00:00:00+00:00,350
2023-01-19 00:00:00+00:00,351
2023-01-20 00:00:00+00:00,353
2023-01-21 00:00:00+00:00,354
2023-01-23 00:00:00+00:00,356
2023-01-24 00:00:00+00:00,357
2023-01-27 00:00:00+00:00,359
2023-02-01 00:00:00+00:00,360
2023-02-03 00:00:00+00:00,362
2023-02-05 00:00:00+00:00,364
2023-02-06 00:00:00+00:00,365
2023-02-08 00:00:00+00:00,366
2023-02-11 00:00:00+00:00,367
2023-02-12 00:00:00+00:00,368
2023-02-17 00:00:00+00:00,369
2023-02-21 00:00:00+00:00,370
2023-02-26 00:00:00+00:00,371
2023-03-01 00:00:00+00:00,372
2023-03-03 00:00:00+00:00,373
2023-03-04 00:00:00+00:00,375
2023-03-10 00:00:00+00:00,376
2023-03-12 00:00:00+00:00,377
2023-03-20 00:00:00+00:00,378
2023-03-24 00:00:00+00:00,379
2023-03-25 00:00:00+00:00,380
2023-03-28 00:00:00+00:00,381
2023-04-03 00:00:00+00:00,384
2023-04-04 00:00:00+00:00,386
2023-04-05 00:00:00+00:00,387
2023-04-06 00:00:00+00:00,388
2023-04-10 00:00:00+00:00,389
2023-04-11 00:00:00+00:00,390
2023-04-13 00:00:00+00:00,391
2023-04-15 00:00:00+00:00,393
2023-04-16 00:00:00+00:00,394
2023-04-17 00:00:00+00:00,395
2023-04-18 00:00:00+00:00,396
2023-04-21 00:00:00+00:00,397
2023-04-23 00:00:00+00:00,398
2023-04-24 00:00:00+00:00,400
2023-04-25 00:00:00+00:00,401
2023-05-02 00:00:00+00:00,402
2023-05-04 00:00:00+00:00,404
2023-05-05 00:00:00+00:00,405
2023-05-08 00:00:00+00:00,406
2023-05-09 00:00:00+00:00,407
2023-05-11 00:00:00+00:00,408
2023-05-15 00:00:00+00:00,409
2023-05-16 00:00:00+00:00,411
2023-05-17 00:00:00+00:00,413
2023-05-18 00:00:00+00:00,414
2023-05-21 00:00:00+00:00,415
2023-05-22 00:00:00+00:00,417
2023-05-23 00:00:00+00:00,418
2023-05-27 00:00:00+00:00,419
2023-06-02 00:00:00+00:00,421
2023-06-06 00:00:00+00:00,422
2023-06-07 00:00:00+00:00,423
2023-06-08 00:00:00+00:00,424
2023-06-10 00:00:00+00:00,425
2023-06-12 00:00:00+00:00,426
2023-06-14 00:00:00+00:00,427
2023-06-21 00:00:00+00:00,428
2023-06-22 00:00:00+00:00,429
2023-06-27 00:00:00+00:00,430
2023-06-29 00:00:00+00:00,431
2023-07-03 00:00:00+00:00,432
2023-07-04 00:00:00+00:00,433
2023-07-05 00:00:00+00:00,434
2023-07-11 00:00:00+00:00,435
2023-07-12 00:00:00+00:00,436
2023-07-13 00:00:00+00:00,437
2023-07-16 00:00:00+00:00,438
2023-07-18 00:00:00+00:00,440
2023-07-20 00:00:00+00:00,441
2023-07-23 00:00:00+00:00,443
2023-07-26 00:00:00+00:00,444
2023-07-28 00:00:00+00:00,445
2023-08-02 00:00:00+00:00,446
2023-08-03 00:00:00+00:00,447
2023-08-06 00:00:00+00:00,448
2023-08-07 00:00:00+00:00,449
2023-08-14 00:00:00+00:00,451
2023-08-15 00:00:00+00:00,453
2023-08-16 00:00:00+00:00,455
2023-08-17 00:00:00+00:00,457
2023-08-22 00:00:00+00:00,458
2023-08-23 00:00:00+00:00,460
2023-08-27 00:00:00+00:00,462
2023-08-28 00:00:00+00:00,464
2023-08-29 00:00:00+00:00,465
2023-09-03 00:00:00+00:00,466
2023-09-05 00:00:00+00:00,469
2023-09-06 00:00:00+00:00,471
2023-09-07 00:00:00+00:00,472
2023-09-09 00:00:00+00:00,474
2023-09-10 00:00:00+00:00,476
2023-09-17 00:00:00+00:00,479
2023-09-19 00:00:00+00:00,480
2023-09-20 00:00:00+00:00,481
2023-09-21 00:00:00+00:00,482
2023-09-25 00:00:00+00:00,484
2023-09-26 00:00:00+00:00,486
2023-09-27 00:00:00+00:00,488
2023-09-28 00:00:00+00:00,489
2023-09-29 00:00:00+00:00,490
2023-10-01 00:00:00+00:00,492
2023-10-07 00:00:00+00:00,493
2023-10-08 00:00:00+00:00,494
2023-10-10 00:00:00+00:00,495
2023-10-12 00:00:00+00:00,496
2023-10-14 00:00:00+00:00,497
2023-10-15 00:00:00+00:00,498
2023-10-20 00:00:00+00:00,499
2023-10-23 00:00:00+00:00,500
2023-11-02 00:00:00+00:00,501
2023-11-06 00:00:00+00:00,502
2023-11-08 00:00:00+00:00,503
2023-11-09 00:00:00+00:00,504
2023-11-12 00:00:00+00:00,505
2023-11-15 00:00:00+00:00,507
2023-11-18 00:00:00+00:00,508
2023-11-19 00:00:00+00:00,510
2023-11-21 00:00:00+00:00,512
2023-11-22 00:00:00+00:00,513
2023-11-23 00:00:00+00:00,514
2023-11-24 00:00:00+00:00,517
2023-11-27 00:00:00+00:00,518
2023-11-28 00:00:00+00:00,520
2023-11-29 00:00:00+00:00,521
2023-11-30 00:00:00+00:00,522
2023-12-04 00:00:00+00:00,523
2023-12-05 00:00:00+00:00,524
2023-12-06 00:00:00+00:00,526
2023-12-08 00:00:00+00:00,527
2023-12-10 00:00:00+00:00,529
2023-12-13 00:00:00+00:00,530
2023-12-17 00:00:00+00:00,531
2023-12-21 00:00:00+00:00,532
2023-12-27 00:00:00+00:00,534
2023-12-28 00:00:00+00:00,537
2023-12-29 00:00:00+00:00,539
2024-01-01 00:00:00+00:00,540
2024-01-05 00:00:00+00:00,541
2024-01-07 00:00:00+00:00,542
2024-01-08 00:00:00+00:00,543
2024-01-11 00:00:00+00:00,544
2024-01-12 00:00:00+00:00,546
2024-01-13 00:00:00+00:00,548
2024-01-14 00:00:00+00:00,549
2024-01-15 00:00:00+00:00,551
2024-01-16 00:00:00+00:00,555
2024-01-17 00:00:00+00:00,556
2024-01-19 00:00:00+00:00,557
2024-01-24 00:00:00+00:00,558
2024-01-25 00:00:00+00:00,560
2024-01-29 00:00:00+00:00,561
2024-01-30 00:00:00+00:00,562
2024-02-04 00:00:00+00:00,563
2024-02-05 00:00:00+00:00,564
2024-02-07 00:00:00+00:00,565
2024-02-16 00:00:00+00:00,566
2024-02-22 00:00:00+00:00,567
2024-02-23 00:00:00+00:00,568
2024-02-27 00:00:00+00:00,570
2024-03-07 00:00:00+00:00,571
2024-03-11 00:00:00+00:00,572
2024-03-15 00:00:00+00:00,573
2024-03-19 00:00:00+00:00,575
2024-03-24 00:00:00+00:00,577
2024-03-25 00:00:00+00:00,578
2024-03-27 00:00:00+00:00,579
2024-03-28 00:00:00+00:00,580
2024-04-02 00:00:00+00:00,581
2024-04-03 00:00:00+00:00,582
2024-04-05 00:00:00+00:00,583
2024-04-06 00:00:00+00:00,584
2024-04-08 00:00:00+00:00,585
2024-04-09 00:00:00+00:00,587
2024-04-11 00:00:00+00:00,588
2024-04-12 00:00:00+00:00,591
2024-04-13 00:00:00+00:00,592
2024-04-15 00:00:00+00:00,594
2024-04-18 00:00:00+00:00,595
2024-04-19 00:00:00+00:00,598
2024-04-21 00:00:00+00:00,600
2024-04-25 00:00:00+00:00,604
2024-04-30 00:00:00+00:00,606
2024-05-02 00:00:00+00:00,608
2024-05-09 00:00:00+00:00,609
2024-05-13 00:00:00+00:00,610
2024-05-16 00:00:00+00:00,611
2024-05-28 00:00:00+00:00,612
2024-05-29 00:00:00+00:00,613
2024-06-04 00:00:00+00:00,614
2024-06-06 00:00:00+00:00,615
2024-06-08 00:00:00+00:00,617
2024-06-09 00:00:00+00:00,618
2024-06-18 00:00:00+00:00,619
2024-06-19 00:00:00+00:00,620
2024-06-21 00:00:00+00:00,621
2024-07-06 00:00:00+00:00,622
2024-07-14 00:00:00+00:00,623
2024-07-24 00:00:00+00:00,624
2024-07-27 00:00:00+00:00,625
2024-07-29 00:00:00+00:00,627
2024-07-30 00:00:00+00:00,628
2024-08-08 00:00:00+00:00,629
2024-08-09 00:00:00+00:00,630
2024-08-15 00:00:00+00:00,631
2024-08-22 00:00:00+00:00,632
2024-08-25 00:00:00+00:00,633
2024-08-26 00:00:00+00:00,634
2024-08-31 00:00:00+00:00,636
2024-09-02 00:00:00+00:00,637
2024-09-04 00:00:00+00:00,638
2024-09-06 00:00:00+00:00,639
2024-09-09 00:00:00+00:00,641
2024-09-10 00:00:00+00:00,642
2024-09-15 00:00:00+00:00,643
